1053660;AP8128140;"CERCHIO D.18""";10.000;10.000;10.000;2.372;0;0;0;1.000;MECCANICHE;0;ev://rotationclass/u1b0y2018p20897;ev://attribute/u1b0y2018p20909;1;1946;NULL
1053661;AP8128137;"CERCHIO D.21""";10.000;10.000;10.000;2.223;0;0;0;1.000;PLASTICHE;0;ev://rotationclass/u1b0y2018p20897;ev://attribute/u1b0y2018p20909;1;1946;NULL
1053662;GU32630760;"CERCHIO POST.3.00X16""";10.000;10.000;10.000;2.200;0;0;0;1.000;MECCANICHE;0;ev://rotationclass/u1b0y2018p20897;ev://attribute/u1b0y2018p20909;1;1946;NULL
1053663;GU03630710;"CERCHIO POST.4,00X17""";10.000;10.000;10.000;4.000;0;0;0;1.000;MECCANICHE;0;ev://rotationclass/u1b0y2018p20897;ev://attribute/u1b0y2018p20909;1;1946;NULL
1053664;GU03610340;"RUOTA ANT.NUDA 2,50X18""";10.000;10.000;10.000;5.000;0;0;0;1.000;MECCANICHE;0;ev://rotationclass/u1b0y2018p20897;ev://attribute/u1b0y2018p20909;1;1946;NULL
1053665;GU01610340;"RUOTA ANT.NUDA GRIGIA 3,5X17""";10.000;10.000;10.000;4.000;0;0;0;1.000;MECCANICHE;0;ev://rotationclass/u1b0y2018p20897;ev://attribute/u1b0y2018p20909;1;1946;NULL
1053666;GU05610330;"RUOTA ANT.NUDA NERA 3,5X17""";10.000;10.000;10.000;4.000;0;0;0;1.000;MECCANICHE;0;ev://rotationclass/u1b0y2018p20897;ev://attribute/u1b0y2018p20909;1;1946;NULL
1053667;AP8128133;"RUOTA ANTERIORE 3,5""X17""";10.000;10.000;10.000;6.000;0;0;0;1.000;MECCANICHE;0;ev://rotationclass/u1b0y2018p20897;ev://attribute/u1b0y2018p20909;1;1946;NULL
1053668;AP8128166;"RUOTA ANTERIORE 3.5""X17""";10.000;10.000;10.000;2.223;0;0;0;1.000;MECCANICHE;0;ev://rotationclass/u1b0y2018p20897;ev://attribute/u1b0y2018p20909;1;1946;NULL
1053669;GU03630670;"RUOTA POST.NUDA 4,00X17""";10.000;10.000;10.000;8.000;0;0;0;1.000;MECCANICHE;0;ev://rotationclass/u1b0y2018p20897;ev://attribute/u1b0y2018p20909;1;1946;NULL
1053670;127203010R;(*) ALBERO PRIMARIO CAMBIO;10.000;10.000;10.000;1.700;0;0;0;1.000;MECCANICHE;0;ev://rotationclass/u1b0y2018p20901;ev://attribute/u1b0y2018p20909;1;1946;NULL
1053671;1B003333000XN2;(*) BAULETTO ANTERIORE;10.000;10.000;10.000;1.300;0;0;0;1.000;PLASTICHE;0;ev://rotationclass/u1b0y2018p20898;ev://attribute/u1b0y2018p20909;1;1946;NULL
1053672;1B003620000XN2;(*) BAULETTO ANTERIORE;10.000;10.000;10.000;1.347;0;0;0;1.000;PLASTICHE;0;ev://rotationclass/u1b0y2018p20897;ev://attribute/u1b0y2018p20909;1;1946;NULL
1053673;1B003333000BR;(*) BAULETTO ANTERIORE;10.000;10.000;10.000;1.300;0;0;0;1.000;PLASTICHE;0;ev://rotationclass/u1b0y2018p20898;ev://attribute/u1b0y2018p20909;1;1946;NULL
1053674;1B003620000T6;(*) BAULETTO ANTERIORE;10.000;10.000;10.000;1.347;0;0;0;1.000;PLASTICHE;0;ev://rotationclass/u1b0y2018p20900;ev://attribute/u1b0y2018p20909;1;1946;NULL
